auteur;opinion;commentaire;note;date
M. COURPRON justin;HelloWorld;Globalement, je suis satisfait.L'utilisation s'est faite à un moment où je n'avais plus trop la possibilité de faire les courses. Cela m'a permis de découvrir de nouvelles recettes et surtout de retrouver goût à faire la cuisine.Les recettes sont pour la plupart généreuse. Elles sont variées et équilibrées.J'ai eu qu'une seule fois un problème lors de la livraison qui a rapidement été résolu par le sav.Les produits sont de qualités.Le seul hic reste le prix hors promotions qui reste élevé à mon goût.;4; 02 juin 2022
Aurélie;Très satisfaits;Nous avons commencé l'abonnement il y a quelques semaines et cela nous correspond vraiment.Choix des plats de la semaine, livraison à heure précise, recette détaillée, produits très bons.;4; 02 juin 2022
Amelie Villegier;J ai été déçu par cette box la…;J ai été déçu par cette box la fraîcheur des légumes n est pas au rdv....tomate cerise écrasé ou moisi ...branche de céleri et salade defrechie ....dommage ...Le reste est correct;5; 02 juin 2022
Van;J'ai rarement été déçu;J'ai rarement été déçu, mais hier j'ai cuisiné le lieu noir curry coco. Sauce incipide, on ne sentait pas la coco, bcp trop de sauce tomate, plat assez fade, nous avons été déçu par cette recette.;3; 02 juin 2022
Isa;Pratique;Pratique et bon,bonne idées de recette mais cela reste un peu chère Un raté une livraison reporté mais juste deux propositions de date pour effectuer le report de la livraison (livraison prévu le samedi report le lundi et mardi);5; 02 juin 2022
Patricia Castet;Découverte de nouvelles saveurs;Découverte de nouvelles saveurs, d'associations d'aliments;3,5; 02 juin 2022
Charlotte;Les recettes Hello Fresh sont très…;Les recettes Hello Fresh sont très bonnes !!! Je les aient prises car j'avais un code promo, qui est terminé, malheureusement.Je ne peux pas pour des raisons financières, commander chaque semaine. Mes amies ne sont pas intéressées par les offres que j'ai à leur donner.;5; 02 juin 2022
Noëlle  Carpe;Excellent;Excellent, bons produits, bonnes recettes.;4; 02 juin 2022
JULIE KROUDO;Très bon repas;Très bon repas, facile et rapide, varié.Excellent;5; 02 juin 2022
julien vimont;produit frais recette facile et bien…;produit frais recette facile et bien expliquée je recommande;5; 02 juin 2022
sandrine ;Problème ce jour de livraison et on ne…;Problème ce jour de livraison et on ne me donne aucune solution;5; 02 juin 2022
hervé maupetit;Très satisfait merci;Produits de qualité et des recettes sympa,rapide,bien détaillée. Je suis conquise;1; 02 juin 2022
Elodie;Produits de qualité et des recettes…;Concept sympa et recettes originales et très bonnes.Attention cependant à la fraîcheur de certains aliments (surtout légumes). En cas de problème, vous serez remboursé du montant des ingrédients mais cela n'empêche que ça n'est pas pratique (il faut aller au supermarché pour trouver l'ingrédient de remplacement, ce qui n'est pas toujours évident ni pratique).;5; 02 juin 2022
Mademoiselle;Bon concept mais attention à la fraîcheur de certains aliments;Super. Bonnes recettes, bons produits, facilité d'utilisation de l'application.;5; 02 juin 2022
Doriane;Super;Cela fait maintenant 2 semaines que j'ai profité d'un code promo et que j'utilise hello fresh.Les produits sont frais et la quantité est bien présente.Il est facile de faire à manger, de choisir ces recettes, et il y a du choix dans les différentes recettes.Je mets une étoile en moins pour le choix de la livraison payante ( si on change le jour proposé) et pour le côté non écolo, beaucoup de plastique pour les épices, les salades, les aromates, c'est dommage.;3; 02 juin 2022
Madeleine  Lhomme;Produits frais et en bon état.;Les recettes sont bonnes et faciles à réaliser mais je ne mets que 2 étoiles car je n’ai pas du tout apprécié le conditionnement lors de l’envoi des ingrédients. Tout est sous plastiques ce qui est complètement contraire à l’écologie. Vous devriez faire un gros effort sur ce point. C’est dommage car votre concept est plutôt bon.;5; 02 juin 2022
Marie;Très bien;Excellente qualité et diversité. Seul bémol, trop de suremballage.;5; 02 juin 2022
Aurélie BIWER;Les recettes sont bonnes et faciles à…;Très bien produits frais recette variés service commercial très rapide;4; 02 juin 2022
Vavaa Tyson;Une belle expérience pratique rapide..;Ravie de mon expérience avec Hello Fresh ! Recettes simples et très bonnes ! Mes ados apprécient beaucoup les recettes, même celles qui, a priori, ne leur plaisaient pas forcément ! Je recommande vivement !;2; 01 juin 2022
Pascal;Excellente qualité et diversité;Plus besoin de faire les courses, tout est livré.A chaque fois les recettes sont très bonnes et nous ont permis de découvrir des ingrédients que l'on ne connaissait pas.Juste un tout petit reproche sur le fait que parfois les ingrédients sont un peu répétitifs d'une recette a l'autre.mais c'est certainement dû au produits de saison.;5; 01 juin 2022
fabienne REBULLIOT;Très bien produits frais recette variés…;Bonjour, rien contre hellofresh mais contre la livraison qui devait être un samedi et qui a été reportée au lundi. La camion s'est baladé avec la nourriture toute la journée sans vous livrer alors qu'il faisait très chaud. Même si la nourriture est dans des frigos je trouve cela limite. J'ai été déçu car il faut aussi être disponible le lundi matin alors que les personnes sont susceptibles de travailler.;5; 01 juin 2022
Catherine BALON;Ravie de mon expérience avec Hello…;produits frais et de qualité. Recettes originales et faciles à réaliser. Envoie rapide. Promos régulières. Je recommande;5; 01 juin 2022
peggy thomann;Plus besoin de se casser la tête à…;Plus besoin de se casser la tête à trouver des menus les produits sont bons et les quantités très bien Dommage que l'on ne puisse pas enlever certains ingrédients car pas consommés comme gingembre par exemple;3,5; 01 juin 2022
Carla Chavatte;Recettes savoureuses mais mal ordonnées et estimées;Les recettes sont souvent très bonnes, et les portions généreuses.Cependant, le choix de plats comporte beaucoup trop de salades, et quelqu'un chez HelloFresh semble adorer la coriandre. Quant aux durées de préparation indiquées sur les recettes, elles sont totalement fantaisistes. Il faut souvent beaucoup plus de temps qu'indiqué pour préparer les légumes. Je n'aime pas non plus l'ordre dans lequel les étapes sont placées, comme :- faire bouillir l'eau ou démarrer le four dès l'étape 1, alors que ce qu'il faut y mettre nécessite beaucoup plus de temps que le temps de chauffe- faire cuire le riz (ou autre) dès le début et le laisser refroidir et se figer pendant qu'on doit préparer tour le reste;4; 01 juin 2022
veronique borst;bravo pour vos produits;bravo pour vos produits  , et les livraisons , toujours agréable de recevoir vos recettes  , mon hic , c'est qui y a des semaines ou les recette me disent rien ,  si je regarde les recettes ca met automatiquement la commande en route ,  j'aimerai pourvoir commander ,seulement quand les recettes me plaisent , ne pas  être en automatique  , ca fait deux fois que je me retrouve avec un colis non souhaitez;4; 01 juin 2022
Michel DESCAMPS;satisfaction;Après une longue interruption due à un accident qui m'a immobilisé la main, vous m'aidez à reprendre goût à cuisiner de bons petits plats, variés, originaux et délicieux.;3; 01 juin 2022
dubuc33;Assez répétitif;Assez répétitif: plats, à un détail près, reviennent trop souvent Fraîcheur des légumes laisse de plus en plus à désirer dès la livraisonQualité baisse depuis qqe temps;5; 01 juin 2022
RAMON PRIETO SUAREZ;je suis assez content;je suis assez content - mais pas toujours envie de cuisiner ...;3; 01 juin 2022
Mélanie;Plusieurs livraisons non livrées et…;Plusieurs livraisons non livrées et maques régulièrement des produits.... Recettes inintéressantes et variées;4; 01 juin 2022
Corinne Tissier;de bons produits;de bons produits, de délicieuses recettes et c'est très pratique !!!;3; 01 juin 2022
Vanessa Chevallier;Très bonnes recettes;Très bonnes recettes. Légumes bien frais. On aimerait avoir l’origine de la viande… les portions sont trop petites pour 5 personnes.;5; 01 juin 2022
Sylvie;Bonne experience;Bonne experience, produit de qualité.;4; 01 juin 2022
sophie E;Super découverte de ces boxs repas Hellofresh;Franchement les choix des recettes sont importants pour chaque semaine et elles.sont très très bonnes.3 boxs reçues, aucune déception dans l'assiette. Les.fiches sont hyper claires. Pas de mensonge sur le temps à utiliser. Et les goûts à la fin sont tops.J'ai eu du Thaï qui ressemblait à du Thaïlande. Italien très goûteux. Mexicain qui m'a fait voyager.J'avoue que je cuisine d'habitude très peu car je déteste faire les courses.Là  recevoir tout c'est top.Par contre pour une box à 5 repas semaine, il faut avoir de la place dans Le frigo.Le seul bémol pour moi: pas de produits bio.Surtout pour les fruits et légumes c'est dommage.;4; 31 mai 2022
BAS;Quand les plats nous plaisent on se…;Quand les plats nous plaisent on se régale, hélas pas mal de plats ne sont pas à nos goûts donc nous commandons pas trop souvent, à regret.;4; 31 mai 2022
NATHALIE;site facile d'utilisation;site facile d'utilisation, possibilité de faire une pause , et suite appel au service client, super bien renseignée et personne très agréable .au moins de temps à autre je ne cherche plus quoi manger , tout arrive prêt a cuisiner en quantité suffisante voire +.;5; 31 mai 2022
Marie Hayeres;pour l'instant 3 repas..;pour l'instant 3 repas... excellent et inédit;5; 26 mai 2022
Stéphanie Grey;Les recettes facile et ingrédients de qualité;Les recettes sont assez facile à suivre et les ingrédients de bonnes qualités, elles changent assez rapidement.Mes ados arrivent à cuisiner facilement .Je regrette juste que l'offres a laquelle j'ai adhéré n'est pas été mieux expliqué. Je pensais bénéficié de la réduction de 50 pourcent sur les deux premières commandes, mais le fait de mettre en pause une semaine l a fait perdre cet avantage.;5; 31 mai 2022
Bene Thivillier;Recette délicieuse varié;Recette délicieuse varié, de bonne qualité et très pratique;5; 31 mai 2022
Nathalie A.;Sympa, kids friendly;Bonnes recettes. La fiche recette est bien faite, facile à suivre. Le concept est sympa (nouvelles recettes, réalisables par les enfants motivés...)Les améliorations sont pour moi au niveau du packaging : pour 5 personnes, je reçois une box pour 3 et une box pour 2. Je suis donc passé à la box pour 4 (qui est ok avec 3 enfants appétits modérés). Les emballages sont trop nombreux : 2 petits sachets plastiques pour le curry par exemple, même logique pour les herbes aromatiques.;5; 31 mai 2022
Véronique Decesvre;Très top un gain de temps pour moi;Très top un gain de temps pour moi Livraison pratique et les menus permettent de variés nos repas;4; 31 mai 2022
Christophe;Produits frais.;Grand choix de repas, plus besoin de s'embêter à faire les courses ni même de réfléchir aux repas de la semaine.Produit frais, recette bien expliqué et pas compliqué. Nous n'avons pas arrêté l'abonnement depuis la premiere commande il y a 10 mois, on a complètement adopté hello fresh ^^.;4; 31 mai 2022
Sebastien Salas;Top pas déçu;Top pas déçu produit frais;3,5; 31 mai 2022
Isabelle FRANCOIS;J'attends toujours mon colis;Colis payé, livraison décalée puis annulée et je n'arrive à contacter personne !Génial le service après-vente !;5; 31 mai 2022
severine guenon;Bonjour,;Bonjour,je suis ravie de vos box.Le seul probleme que je rencontre, ce sont les retards de livraison ou les report d'une journée.;1; 31 mai 2022
laurent Antunes;Pratique et copieux;J avais suspendu mes commandes  j ai soi-disant reçu un colis pas de commande reçu car pas chez moi et mes voisins n ont pas vue de livreurs personne n a était sollicitée pour réceptionner ce soit disant colis .On me demande de payer sous 8 jours après mettre renseignée à 50 millions de consommateurs je n ai rien a payer ou est passer ce coli?;4; 30 mai 2022
